class, accuracy, precision, recall, f1-score
0, 0.9000, 1.0000, 0.9000, 0.9474
1, 1.0000, 0.9174, 1.0000, 0.9569
2, 1.0000, 1.0000, 1.0000, 1.0000
3, 0.9800, 0.9800, 0.9800, 0.9800
4, 0.9900, 1.0000, 0.9900, 0.9950
5, 0.9900, 1.0000, 0.9900, 0.9950
6, 0.9900, 1.0000, 0.9900, 0.9950
7, 1.0000, 1.0000, 1.0000, 1.0000
8, 1.0000, 1.0000, 1.0000, 1.0000
9, 0.9900, 1.0000, 0.9900, 0.9950
10, 1.0000, 0.9901, 1.0000, 0.9950
11, 1.0000, 0.9804, 1.0000, 0.9901
12, 1.0000, 0.9901, 1.0000, 0.9950
13, 1.0000, 1.0000, 1.0000, 1.0000
14, 1.0000, 0.9901, 1.0000, 0.9950
15, 1.0000, 1.0000, 1.0000, 1.0000
16, 1.0000, 1.0000, 1.0000, 1.0000
17, 1.0000, 1.0000, 1.0000, 1.0000
18, 1.0000, 0.9901, 1.0000, 0.9950
19, 1.0000, 1.0000, 1.0000, 1.0000
20, 1.0000, 1.0000, 1.0000, 1.0000
21, 1.0000, 1.0000, 1.0000, 1.0000
22, 1.0000, 0.9901, 1.0000, 0.9950
23, 0.9900, 1.0000, 0.9900, 0.9950
24, 1.0000, 1.0000, 1.0000, 1.0000
25, 0.9900, 1.0000, 0.9900, 0.9950
average, 0.9931, 0.9934, 0.9931, 0.9950
