class, accuracy, precision, recall, f1-score
0, 1.0000, 0.9434, 1.0000, 0.9709
1, 0.9400, 1.0000, 0.9400, 0.9691
2, 1.0000, 1.0000, 1.0000, 1.0000
3, 1.0000, 1.0000, 1.0000, 1.0000
4, 1.0000, 1.0000, 1.0000, 1.0000
5, 1.0000, 1.0000, 1.0000, 1.0000
6, 1.0000, 1.0000, 1.0000, 1.0000
7, 1.0000, 1.0000, 1.0000, 1.0000
8, 1.0000, 1.0000, 1.0000, 1.0000
9, 1.0000, 1.0000, 1.0000, 1.0000
10, 1.0000, 1.0000, 1.0000, 1.0000
11, 1.0000, 1.0000, 1.0000, 1.0000
12, 1.0000, 1.0000, 1.0000, 1.0000
13, 1.0000, 1.0000, 1.0000, 1.0000
14, 1.0000, 1.0000, 1.0000, 1.0000
15, 1.0000, 1.0000, 1.0000, 1.0000
16, 1.0000, 1.0000, 1.0000, 1.0000
17, 1.0000, 1.0000, 1.0000, 1.0000
18, 1.0000, 1.0000, 1.0000, 1.0000
19, 1.0000, 1.0000, 1.0000, 1.0000
20, 1.0000, 1.0000, 1.0000, 1.0000
21, 1.0000, 1.0000, 1.0000, 1.0000
22, 1.0000, 1.0000, 1.0000, 1.0000
23, 1.0000, 1.0000, 1.0000, 1.0000
24, 1.0000, 1.0000, 1.0000, 1.0000
25, 1.0000, 1.0000, 1.0000, 1.0000
average, 0.9977, 0.9978, 0.9977, 1.0000
