class, accuracy, precision, recall, f1-score
0, 1.0000, 0.9901, 1.0000, 0.9950
1, 1.0000, 1.0000, 1.0000, 1.0000
2, 1.0000, 1.0000, 1.0000, 1.0000
3, 0.9900, 1.0000, 0.9900, 0.9950
4, 1.0000, 0.9615, 1.0000, 0.9804
5, 0.9900, 1.0000, 0.9900, 0.9950
6, 1.0000, 1.0000, 1.0000, 1.0000
7, 0.9600, 1.0000, 0.9600, 0.9796
8, 1.0000, 1.0000, 1.0000, 1.0000
9, 1.0000, 1.0000, 1.0000, 1.0000
10, 1.0000, 1.0000, 1.0000, 1.0000
11, 0.9700, 1.0000, 0.9700, 0.9848
12, 1.0000, 0.9901, 1.0000, 0.9950
13, 1.0000, 1.0000, 1.0000, 1.0000
14, 0.9400, 0.9895, 0.9400, 0.9641
15, 1.0000, 1.0000, 1.0000, 1.0000
16, 1.0000, 0.9434, 1.0000, 0.9709
17, 1.0000, 1.0000, 1.0000, 1.0000
18, 1.0000, 1.0000, 1.0000, 1.0000
19, 1.0000, 1.0000, 1.0000, 1.0000
20, 1.0000, 0.9615, 1.0000, 0.9804
21, 1.0000, 1.0000, 1.0000, 1.0000
22, 1.0000, 0.9901, 1.0000, 0.9950
23, 0.9800, 1.0000, 0.9800, 0.9899
24, 1.0000, 1.0000, 1.0000, 1.0000
25, 0.9900, 1.0000, 0.9900, 0.9950
average, 0.9931, 0.9933, 0.9931, 0.9950
