Per-Class Metrics:
  Class 0: Accuracy: 1.0000, Precision: 0.9901, Recall: 1.0000, F1-score: 0.9950
  Class 1: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 2: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 3: Accuracy: 0.9900, Precision: 1.0000, Recall: 0.9900, F1-score: 0.9950
  Class 4: Accuracy: 1.0000, Precision: 0.9615, Recall: 1.0000, F1-score: 0.9804
  Class 5: Accuracy: 0.9900, Precision: 1.0000, Recall: 0.9900, F1-score: 0.9950
  Class 6: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 7: Accuracy: 0.9600, Precision: 1.0000, Recall: 0.9600, F1-score: 0.9796
  Class 8: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 9: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 10: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 11: Accuracy: 0.9700, Precision: 1.0000, Recall: 0.9700, F1-score: 0.9848
  Class 12: Accuracy: 1.0000, Precision: 0.9901, Recall: 1.0000, F1-score: 0.9950
  Class 13: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 14: Accuracy: 0.9400, Precision: 0.9895, Recall: 0.9400, F1-score: 0.9641
  Class 15: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 16: Accuracy: 1.0000, Precision: 0.9434, Recall: 1.0000, F1-score: 0.9709
  Class 17: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 18: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 19: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 20: Accuracy: 1.0000, Precision: 0.9615, Recall: 1.0000, F1-score: 0.9804
  Class 21: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 22: Accuracy: 1.0000, Precision: 0.9901, Recall: 1.0000, F1-score: 0.9950
  Class 23: Accuracy: 0.9800, Precision: 1.0000, Recall: 0.9800, F1-score: 0.9899
  Class 24: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 25: Accuracy: 0.9900, Precision: 1.0000, Recall: 0.9900, F1-score: 0.9950
Average: Accuracy: 0.9931, Precision: 0.9933, Recall: 0.9931, F1-Score: 0.9950
