class, accuracy, precision, recall, f1-score
0, 1.0000, 1.0000, 1.0000, 1.0000
1, 1.0000, 1.0000, 1.0000, 1.0000
2, 1.0000, 1.0000, 1.0000, 1.0000
3, 1.0000, 1.0000, 1.0000, 1.0000
4, 1.0000, 1.0000, 1.0000, 1.0000
5, 1.0000, 1.0000, 1.0000, 1.0000
6, 1.0000, 1.0000, 1.0000, 1.0000
7, 1.0000, 1.0000, 1.0000, 1.0000
8, 1.0000, 1.0000, 1.0000, 1.0000
9, 1.0000, 0.9804, 1.0000, 0.9901
10, 1.0000, 1.0000, 1.0000, 1.0000
11, 1.0000, 1.0000, 1.0000, 1.0000
12, 1.0000, 1.0000, 1.0000, 1.0000
13, 1.0000, 1.0000, 1.0000, 1.0000
14, 1.0000, 1.0000, 1.0000, 1.0000
15, 0.9700, 1.0000, 0.9700, 0.9848
16, 1.0000, 1.0000, 1.0000, 1.0000
17, 1.0000, 1.0000, 1.0000, 1.0000
18, 1.0000, 1.0000, 1.0000, 1.0000
19, 1.0000, 0.9901, 1.0000, 0.9950
20, 1.0000, 1.0000, 1.0000, 1.0000
21, 1.0000, 1.0000, 1.0000, 1.0000
22, 1.0000, 1.0000, 1.0000, 1.0000
23, 1.0000, 1.0000, 1.0000, 1.0000
24, 1.0000, 1.0000, 1.0000, 1.0000
25, 1.0000, 1.0000, 1.0000, 1.0000
average, 0.9988, 0.9989, 0.9988, 1.0000
