Per-Class Metrics:
  Class 0: Accuracy: 0.9600, Precision: 1.0000, Recall: 0.9600, F1-score: 0.9796
  Class 1: Accuracy: 0.9500, Precision: 0.9596, Recall: 0.9500, F1-score: 0.9548
  Class 2: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 3: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 4: Accuracy: 0.9900, Precision: 1.0000, Recall: 0.9900, F1-score: 0.9950
  Class 5: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 6: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 7: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 8: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 9: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 10: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 11: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 12: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 13: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 14: Accuracy: 1.0000, Precision: 0.9804, Recall: 1.0000, F1-score: 0.9901
  Class 15: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 16: Accuracy: 1.0000, Precision: 0.9709, Recall: 1.0000, F1-score: 0.9852
  Class 17: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 18: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 19: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 20: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 21: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 22: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 23: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 24: Accuracy: 1.0000, Precision: 1.0000, Recall: 1.0000, F1-score: 1.0000
  Class 25: Accuracy: 1.0000, Precision: 0.9901, Recall: 1.0000, F1-score: 0.9950
Average: Accuracy: 0.9962, Precision: 0.9962, Recall: 0.9962, F1-Score: 0.9950
